# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
6723.8000 M90 167 1 161.1000 s14 sink9 3597 N s14->sink4
6723.9000 M83 174 2 489.1000 s11 sink2 3591 N s11->s14->sink4
6724.0000 M74 101 2 932.8000 s11 sink8 3584 N s11->s14->sink4
7231.0000 M85 181 1 939.8000 s13 sink5 3584 N s13->sink1
7231.1000 M81 111 2 1124.0000 s17 sink4 3581 N s17->s13->sink1
7231.2000 M92 160 3 309.3000 s10 sink3 3594 N s10->s17->s13->sink1
7374.3000 M78 188 2 1380.5000 s12 sink1 3576 N s12->s15->sink3
7374.4000 M97 170 2 211.5000 s18 sink3 3596 N s18->s15->sink3
7374.5000 M94 133 1 298.8000 s15 sink1 3595 N s15->sink3
7374.6000 M84 187 2 1085.4000 s19 sink2 3581 N s19->s15->sink3
7374.7000 M87 151 2 958.6000 s12 sink4 3584 N s12->s15->sink3
7374.8000 M95 158 2 268.7000 s12 sink7 3595 N s12->s15->sink3
7641.5000 M99 119 3 363.4000 s16 sink7 3593 N s16->s14->s19->sink3
7641.6000 M100 177 1 309.9000 s19 sink9 3594 N s19->sink3
7641.7000 M96 180 2 532.7000 s14 sink8 3591 N s14->s19->sink3
7641.8000 M91 163 1 760.6000 s19 sink1 3587 N s19->sink3
7641.9000 M101 185 2 296.4000 s14 sink7 3595 N s14->s19->sink3
8471.2000 M112 124 1 295.3000 s12 sink8 3595 N s12->sink3
8471.3000 M116 160 1 136.7000 s12 sink5 3597 N s12->sink3
8471.4000 M108 168 1 558.2000 s12 sink8 3590 N s12->sink3
8514.9000 M114 179 1 331.0000 s19 sink2 3594 N s19->sink2
8515.0000 M106 182 4 734.6000 s11 sink7 3587 N s11->s14->s15->s19->sink2
8515.1000 M118 104 1 110.1000 s19 sink9 3598 N s19->sink2
8515.2000 M105 171 3 761.4000 s14 sink5 3587 N s14->s15->s19->sink2
8515.3000 M103 164 3 925.5000 s14 sink4 3584 N s14->s15->s19->sink2
8515.4000 M107 157 2 725.9000 s17 sink1 3587 N s17->s19->sink2
8515.5000 M98 194 4 1315.4000 s11 sink2 3578 N s11->s14->s15->s19->sink2
8515.6000 M111 110 2 366.5000 s15 sink7 3593 N s15->s19->sink2
8515.7000 M93 187 4 1464.4000 s11 sink4 3575 N s11->s14->s15->s19->sink2
9137.8000 M124 154 1 75.8000 s11 sink0 3598 N s11->sink3
9137.9000 M104 177 2 1414.9000 s18 sink0 3576 N s18->s11->sink3
9138.0000 M102 167 2 1642.3000 s13 sink7 3572 N s13->s11->sink3
9138.1000 M122 152 1 278.0000 s11 sink6 3595 N s11->sink3
9138.2000 M115 178 2 912.7000 s18 sink4 3584 N s18->s11->sink3
9138.3000 M119 134 1 650.3000 s11 sink1 3589 N s11->sink3
9138.4000 M110 137 2 1101.0000 s13 sink2 3581 N s13->s11->sink3
9167.9000 M109 179 3 1222.2000 s16 sink7 3579 N s16->s17->s13->sink1
9168.0000 M121 169 1 394.2000 s13 sink5 3593 N s13->sink1
9168.1000 M125 187 1 86.9000 s13 sink6 3598 N s13->sink1
